id,Дата,UserID,Продукт,Количество,Цена
95,2020-05-19,263,Фитнес-браслет,14,13685
96,2009-11-10,232,Электрическая зубная щетка,6,46865
97,2011-07-12,144,Игровая консоль,2,26334
98,2005-11-23,246,Электрочайник,20,38921
99,2021-08-30,74,Стиральная машина,18,41909
100,2011-07-07,210,Сенсорная лампа,14,28272
101,2020-07-31,32,Электрическая зубная щетка,10,27564
102,2005-08-31,30,Микроволновая печь,20,23969
103,2011-03-29,118,Фитнес-браслет,16,4590
104,2017-07-16,287,Беспроводные наушники,12,808
105,2019-04-25,118,Беспроводные наушники,20,22647
106,2016-09-25,90,Фитнес-браслет,18,47172
107,2022-10-06,95,Электрическая зубная щетка,9,19005
108,2014-08-12,41,Планшет,4,37750
109,2018-09-19,155,Сенсорная лампа,16,47652
110,2010-09-28,125,Умные часы,16,29010
111,2014-01-09,178,Фитнес-браслет,8,32835
112,2005-10-18,80,Беспроводные наушники,20,33323
113,2010-01-24,198,Сенсорная лампа,8,19436
114,2011-11-10,107,Внешний жесткий диск,4,28300
115,2016-10-17,203,Портативная колонка,9,11328
116,2022-12-07,75,Стиральная машина,8,23502
117,2020-07-11,81,Стиральная машина,12,32473
118,2011-08-14,44,Робот-пылесос,16,12695
119,2021-03-19,164,Умные часы,12,44304
120,2023-05-01,80,Беспроводные наушники,15,29953
121,2023-06-25,141,Фитнес-браслет,8,7612
122,2005-05-30,240,Сенсорная лампа,7,34000
123,2019-06-12,15,Парогенератор,14,41112
124,2007-04-30,212,Внешний жесткий диск,11,957
125,2005-07-23,240,Внешний жесткий диск,18,48320
126,2005-05-17,269,Внешний жесткий диск,15,15294
127,2006-12-03,230,Игровая консоль,1,10017
128,2005-04-21,141,Холодильник,3,40599
129,2021-09-22,238,Электрическая зубная щетка,7,18603
130,2009-10-30,24,Цифровая камера,6,39295
131,2012-05-25,148,Холодильник,8,8414
132,2007-01-23,207,Игровая консоль,15,41245
133,2007-07-31,208,Робот-пылесос,12,19210
134,2022-06-04,145,Цифровая камера,17,39006
135,2018-05-14,129,Микроволновая печь,15,31782
136,2009-05-22,176,Холодильник,5,37276
137,2023-07-07,207,Портативная колонка,3,38520
138,2015-04-10,260,Парогенератор,16,4513
139,2017-08-18,195,Внешний жесткий диск,7,18282
140,2008-02-11,203,Ноутбук,7,40148
141,2012-10-09,300,Фитнес-браслет,2,48416
142,2010-08-19,37,Умные часы,4,34737
143,2006-02-08,27,Стиральная машина,15,23012
144,2010-05-16,79,Внешний жесткий диск,14,47562
145,2009-06-22,199,Микроволновая печь,19,30114
146,2017-05-23,286,Умные часы,6,30014
147,2017-07-12,100,Игровая консоль,10,14860
148,2014-04-10,142,Парогенератор,8,47067
149,2016-06-14,196,Ноутбук,6,43195
150,2024-05-11,211,Электрочайник,5,35369
151,2019-10-21,223,Ноутбук,19,1751
152,2007-10-06,77,Электрочайник,6,28161
153,2010-08-09,277,Сенсорная лампа,12,35752
154,2005-02-19,138,Стиральная машина,13,7437
155,2015-08-31,203,Микроволновая печь,1,11575
156,2016-05-23,107,Стиральная машина,8,6406
157,2024-08-15,133,Умные часы,20,9329
158,2016-10-30,88,Цифровая камера,14,48370
159,2009-05-09,197,Робот-пылесос,10,14474
160,2004-10-28,163,Игровая консоль,6,33437
161,2008-12-22,245,Электрическая зубная щетка,3,24645
162,2017-08-21,41,Соковыжималка,15,36615
163,2021-03-26,224,Внешний жесткий диск,8,47196
164,2019-12-07,296,Умные часы,5,36198
165,2021-04-14,255,Робот-пылесос,2,5717
166,2017-01-31,137,Фитнес-браслет,9,12239
167,2016-06-30,93,Электрическая зубная щетка,5,8685
168,2019-10-11,187,Умные часы,4,22795
169,2009-03-25,263,Ноутбук,18,6182
170,2008-09-04,111,Холодильник,13,38903
171,2011-07-30,63,Ноутбук,14,30375
172,2014-08-24,64,Портативная колонка,19,28678
173,2007-03-15,130,Сенсорная лампа,5,40672
174,2021-12-05,132,Игровая консоль,10,15512
175,2007-12-31,36,Парогенератор,2,26022
176,2011-09-24,225,Внешний жесткий диск,16,32342
177,2007-07-14,96,Электрочайник,2,20294
178,2024-09-22,190,Соковыжималка,17,26087
179,2013-06-29,160,Цифровая камера,2,2182
180,2010-01-01,199,Холодильник,17,38248
181,2014-01-28,154,Цифровая камера,7,34834
182,2013-09-14,45,Умные часы,17,25836
183,2008-05-13,292,Умные часы,10,944
184,2019-04-23,104,Планшет,13,36698
185,2007-12-15,241,Смартфон,14,38229
186,2011-04-17,129,Портативная колонка,17,24193
187,2013-11-23,31,Электрическая зубная щетка,11,45923
188,2012-09-28,285,Портативная колонка,15,36057
189,2010-02-15,262,Стиральная машина,12,11866
190,2023-04-21,195,Соковыжималка,9,24600
191,2023-04-04,69,Игровая консоль,11,22038
192,2014-04-10,110,Сенсорная лампа,5,29778
193,2006-08-06,68,Внешний жесткий диск,12,6625
194,2011-12-30,161,Соковыжималка,1,48784
195,2021-08-17,87,Смартфон,11,28828
196,2023-06-22,273,Парогенератор,17,15060
197,2016-05-03,268,Парогенератор,1,38206
198,2010-05-15,42,Внешний жесткий диск,19,48796
199,2011-07-13,104,Умные часы,4,42711
200,2013-07-31,175,Электрочайник,13,25449
201,2018-06-13,225,Парогенератор,3,46525
202,2011-05-05,59,Умные часы,15,14153
203,2020-12-08,88,Игровая консоль,8,38201
204,2006-03-25,280,Портативная колонка,9,32879
205,2024-07-15,291,Соковыжималка,18,19186
206,2020-02-06,279,Цифровая камера,8,10662
207,2008-04-06,191,Электрическая зубная щетка,13,37889
208,2011-01-08,226,Робот-пылесос,2,48388
209,2014-04-16,8,Беспроводные наушники,9,28552
210,2009-09-24,216,Внешний жесткий диск,14,47698
211,2018-11-09,217,Планшет,13,972
212,2018-03-16,94,Сенсорная лампа,8,37700
213,2013-07-20,18,Портативная колонка,13,30005
214,2024-06-27,241,Фитнес-браслет,5,17831
215,2014-06-23,188,Парогенератор,12,40037
216,2011-12-08,297,Соковыжималка,7,32993
217,2020-01-04,223,Электрочайник,14,9695
218,2014-03-03,65,Стиральная машина,11,26368
219,2013-01-08,180,Портативная колонка,13,37162
220,2018-10-07,43,Умные часы,18,44506
221,2005-07-06,284,Электрическая зубная щетка,5,20951
222,2016-08-26,206,Игровая консоль,2,12056
223,2020-02-23,175,Смартфон,20,49640
224,2020-05-08,17,Робот-пылесос,3,39154
225,2024-08-28,95,Холодильник,9,1410
226,2023-10-17,112,Робот-пылесос,20,25684
227,2019-11-25,182,Электрочайник,17,16069
228,2009-07-29,61,Ноутбук,4,5691
229,2021-06-27,120,Фитнес-браслет,8,29161
230,2011-07-16,61,Электрическая зубная щетка,17,6297
231,2015-03-19,45,Робот-пылесос,14,27392
232,2016-04-08,176,Портативная колонка,12,20064
233,2007-09-18,263,Соковыжималка,7,41112
234,2009-01-02,43,Ноутбук,4,31008
235,2005-02-18,127,Планшет,12,34989
236,2022-10-03,32,Сенсорная лампа,14,14611
237,2020-02-25,100,Смартфон,2,9279
238,2016-09-11,255,Смартфон,8,28895
239,2021-08-13,14,Внешний жесткий диск,9,31156
240,2022-09-16,21,Электрическая зубная щетка,4,24667
241,2023-10-16,62,Планшет,10,2932
242,2017-12-10,51,Умные часы,2,13116
243,2017-06-09,267,Смартфон,11,21812
244,2022-01-18,25,Ноутбук,3,20943
245,2005-05-27,183,Электрочайник,3,42677
246,2013-12-04,16,Соковыжималка,16,34288
247,2011-01-09,83,Умные часы,11,17968
248,2013-07-28,81,Ноутбук,1,45079
249,2012-10-03,288,Электрическая зубная щетка,16,3667
250,2006-12-27,220,Соковыжималка,16,26779
251,2019-09-09,286,Холодильник,14,805
252,2023-06-15,32,Робот-пылесос,6,35157
253,2009-02-13,209,Смартфон,16,48667
254,2014-05-15,24,Смартфон,19,38637
255,2008-05-12,126,Беспроводные наушники,18,17464
256,2016-11-23,196,Электрочайник,8,6654
257,2022-06-05,278,Беспроводные наушники,9,5554
258,2007-05-13,232,Цифровая камера,17,37108
259,2009-02-01,225,Робот-пылесос,2,16430
260,2018-09-22,99,Смартфон,4,29023
261,2021-01-25,74,Смартфон,9,33819
262,2012-10-07,225,Умные часы,11,47593
263,2009-01-05,261,Электрическая зубная щетка,9,24891
264,2012-03-18,210,Соковыжималка,10,27183
265,2021-09-20,185,Смартфон,16,8682
266,2011-04-14,154,Парогенератор,9,2392
267,2005-04-30,106,Фитнес-браслет,12,35773
268,2022-01-05,74,Соковыжималка,17,7324
269,2023-11-04,207,Ноутбук,2,17188
270,2020-12-09,98,Игровая консоль,1,44082
271,2008-07-27,74,Умные часы,18,32816
272,2019-01-02,73,Беспроводные наушники,7,11652
273,2015-02-24,269,Электрочайник,12,8445
274,2017-12-25,86,Фитнес-браслет,12,9682
275,2021-09-02,180,Планшет,7,9061
276,2012-08-30,271,Соковыжималка,1,30805
277,2022-05-03,223,Робот-пылесос,11,25153
278,2022-06-17,299,Внешний жесткий диск,8,38793
279,2014-02-28,240,Цифровая камера,17,6625
280,2008-06-24,245,Стиральная машина,8,805
281,2012-08-11,76,Игровая консоль,13,12711
282,2013-05-22,138,Планшет,8,16674
283,2020-12-29,214,Игровая консоль,17,16627
284,2021-09-04,274,Соковыжималка,15,12214
285,2009-09-01,146,Ноутбук,20,10758
286,2008-11-15,10,Планшет,8,36266
287,2021-05-08,102,Игровая консоль,19,2004
288,2018-02-15,44,Внешний жесткий диск,1,23128
289,2010-12-24,207,Микроволновая печь,17,47400
290,2011-05-13,135,Умные часы,14,9433
291,2008-11-03,16,Внешний жесткий диск,17,38355
292,2005-09-03,301,Электрочайник,7,23604
293,2023-03-19,159,Робот-пылесос,9,28191
294,2014-07-01,117,Смартфон,1,46543
295,2016-10-31,106,Фитнес-браслет,9,4460
296,2005-07-14,281,Робот-пылесос,10,41806
297,2005-10-15,224,Смартфон,12,23481
298,2024-09-11,38,Соковыжималка,20,20874
299,2006-06-06,11,Электрочайник,10,4012
300,2017-02-08,248,Микроволновая печь,4,45367
301,2007-04-24,165,Соковыжималка,8,2067
302,2005-02-24,128,Парогенератор,7,15242
303,2023-09-24,186,Парогенератор,11,48768
304,2019-09-30,85,Умные часы,10,16262
305,2016-04-09,123,Сенсорная лампа,6,12632
306,2011-08-24,219,Электрочайник,2,42647
307,2023-09-27,152,Цифровая камера,5,33208
308,2023-05-25,272,Электрочайник,9,41192
309,2012-07-07,106,Ноутбук,7,27026
310,2008-11-15,132,Фитнес-браслет,3,16892
311,2013-07-03,90,Холодильник,20,38071
312,2022-03-22,140,Стиральная машина,12,26186
313,2023-01-03,195,Портативная колонка,13,35156
314,2023-03-19,16,Электрическая зубная щетка,7,26845
315,2019-03-30,1,Микроволновая печь,12,14423
316,2004-10-26,78,Стиральная машина,3,25662
317,2019-06-21,170,Ноутбук,17,26960
318,2013-02-21,219,Цифровая камера,3,21009
319,2016-01-31,277,Сенсорная лампа,6,15026
320,2011-07-30,193,Цифровая камера,9,23351
321,2009-12-09,208,Внешний жесткий диск,19,25500
322,2007-09-08,193,Планшет,4,21965
323,2017-05-19,66,Игровая консоль,11,42132
324,2009-03-20,63,Электрочайник,4,16398
325,2015-08-21,204,Планшет,18,5369
326,2018-09-24,25,Микроволновая печь,17,25344
327,2016-04-28,208,Электрическая зубная щетка,3,39080
328,2005-12-22,179,Сенсорная лампа,14,6576
329,2005-10-10,101,Умные часы,9,10432
330,2024-04-27,54,Ноутбук,6,8463
331,2009-03-12,254,Цифровая камера,15,41248
332,2012-12-31,204,Робот-пылесос,17,35399
333,2016-01-13,210,Смартфон,5,28761
334,2024-08-27,166,Парогенератор,2,21985
335,2007-01-07,247,Портативная колонка,17,35850
336,2013-09-28,208,Портативная колонка,9,4012
337,2013-04-22,203,Холодильник,6,11050
338,2008-12-28,188,Соковыжималка,7,15439
339,2020-10-20,182,Парогенератор,1,6917
340,2017-07-26,44,Умные часы,1,32977
341,2010-05-21,69,Соковыжималка,12,13914
342,2023-11-29,166,Планшет,20,9361
343,2021-04-20,278,Холодильник,7,41486
344,2008-03-17,43,Фитнес-браслет,13,16109
345,2023-09-16,28,Электрочайник,2,42274
346,2005-06-09,185,Цифровая камера,4,42245
347,2016-02-26,20,Ноутбук,1,10931
348,2023-12-20,228,Фитнес-браслет,11,44590
349,2007-10-02,61,Ноутбук,8,29089
350,2014-10-05,56,Микроволновая печь,8,40676
351,2019-06-24,211,Игровая консоль,15,3954
352,2023-03-19,10,Парогенератор,2,26907
353,2022-08-08,264,Беспроводные наушники,3,22674
354,2024-07-21,148,Умные часы,14,10784
355,2015-12-07,84,Парогенератор,9,28571
356,2020-01-05,23,Робот-пылесос,9,4870
357,2009-08-23,239,Соковыжималка,1,44244
358,2014-08-18,159,Парогенератор,20,24334
359,2009-06-30,85,Фитнес-браслет,16,1574
360,2014-01-03,157,Микроволновая печь,5,5467
361,2024-09-03,29,Портативная колонка,17,22955
362,2010-10-02,235,Планшет,11,36448
363,2014-11-28,198,Электрочайник,20,47245
364,2016-06-26,217,Соковыжималка,2,23493
365,2006-03-30,83,Беспроводные наушники,17,39573
366,2010-10-02,37,Портативная колонка,3,37349
367,2016-06-17,180,Внешний жесткий диск,2,6927
368,2022-08-10,297,Смартфон,6,1039
369,2005-07-05,184,Соковыжималка,13,44009
370,2007-02-10,176,Игровая консоль,6,5941
371,2019-01-23,45,Стиральная машина,9,26336
372,2012-06-07,188,Беспроводные наушники,13,47031
373,2022-07-17,169,Парогенератор,6,18016
374,2015-07-06,83,Микроволновая печь,17,17961
375,2009-11-26,99,Сенсорная лампа,16,12568
376,2012-06-23,231,Смартфон,12,36441
377,2016-03-20,301,Парогенератор,17,4852
378,2019-06-23,189,Робот-пылесос,12,16500
379,2023-07-16,58,Стиральная машина,3,29486
380,2005-01-30,179,Портативная колонка,18,20063
381,2005-09-19,240,Смартфон,4,46495
382,2013-06-25,228,Беспроводные наушники,8,9975
383,2006-05-29,258,Стиральная машина,16,37409
384,2005-01-09,83,Планшет,19,35159
385,2018-09-11,62,Холодильник,5,49092
386,2022-12-21,137,Умные часы,3,33805
387,2005-07-14,213,Беспроводные наушники,12,29921
388,2008-05-22,81,Портативная колонка,12,38969
389,2005-03-26,21,Ноутбук,2,3604
390,2009-03-19,21,Внешний жесткий диск,14,22353
391,2021-11-11,215,Умные часы,7,11522
392,2024-03-01,166,Микроволновая печь,1,3531
393,2018-12-07,132,Портативная колонка,5,42706
394,2006-04-04,260,Цифровая камера,17,18802
395,2012-06-14,23,Стиральная машина,7,19681
396,2022-07-19,46,Робот-пылесос,11,40875
397,2012-06-16,246,Беспроводные наушники,9,1906
398,2022-08-20,134,Парогенератор,7,29510
399,2011-03-22,184,Электрическая зубная щетка,2,19417
400,2005-02-06,164,Сенсорная лампа,4,23625
401,2021-04-18,259,Парогенератор,8,29546
402,2019-11-21,267,Электрическая зубная щетка,13,36297
403,2012-10-20,295,Цифровая камера,20,22389
404,2016-02-29,116,Электрическая зубная щетка,6,35222
405,2020-12-17,216,Электрическая зубная щетка,6,35401
406,2008-11-06,42,Внешний жесткий диск,1,12591
407,2016-10-04,270,Электрическая зубная щетка,7,39033
408,2008-02-15,298,Электрическая зубная щетка,10,7359
409,2005-02-14,48,Микроволновая печь,9,18467
410,2009-10-27,213,Планшет,9,3959
411,2016-10-05,271,Смартфон,12,29899
412,2018-08-28,63,Внешний жесткий диск,6,26474
413,2023-07-04,237,Беспроводные наушники,19,39737
414,2022-12-05,255,Беспроводные наушники,8,40712
415,2008-04-09,43,Игровая консоль,17,21435
416,2012-06-27,189,Игровая консоль,6,19204
417,2020-07-13,288,Робот-пылесос,19,622
418,2022-07-07,249,Смартфон,8,11552
419,2006-11-27,263,Сенсорная лампа,12,12488
420,2006-07-13,281,Парогенератор,14,15022
421,2009-03-27,165,Игровая консоль,5,37025
422,2013-11-11,35,Робот-пылесос,14,29834
423,2019-08-29,301,Сенсорная лампа,20,4995
424,2021-02-13,69,Портативная колонка,1,23846
425,2006-04-26,19,Электрическая зубная щетка,9,49108
426,2017-04-19,39,Смартфон,3,22369
427,2015-09-01,297,Электрическая зубная щетка,9,42907
428,2009-07-01,91,Игровая консоль,20,13715
429,2018-05-07,47,Беспроводные наушники,11,35383
430,2004-11-08,172,Умные часы,13,48240
431,2016-04-14,80,Соковыжималка,2,9842
432,2015-02-06,213,Сенсорная лампа,2,11344
433,2010-08-13,216,Игровая консоль,6,38255
434,2011-10-09,74,Ноутбук,6,33252
435,2016-04-26,213,Фитнес-браслет,14,33176
436,2017-02-05,205,Соковыжималка,20,45660
437,2021-03-08,31,Цифровая камера,18,36273
438,2006-01-13,261,Смартфон,16,13178
439,2014-10-24,143,Парогенератор,1,40828
440,2010-10-12,145,Парогенератор,19,28589
441,2013-06-04,135,Холодильник,5,38341
442,2006-07-07,170,Беспроводные наушники,11,30930
443,2020-04-12,65,Умные часы,20,31995
444,2020-04-05,158,Робот-пылесос,18,19594
445,2023-04-08,231,Робот-пылесос,13,47516
446,2011-03-01,261,Игровая консоль,1,45254
447,2011-04-20,201,Смартфон,11,30132
448,2014-02-28,202,Цифровая камера,20,17849
449,2012-10-24,12,Внешний жесткий диск,16,3913
450,2013-01-22,170,Соковыжималка,14,37788
451,2018-03-25,257,Цифровая камера,10,11841
452,2016-04-02,115,Робот-пылесос,7,4045
453,2015-07-21,183,Внешний жесткий диск,12,29864
454,2018-05-15,241,Холодильник,13,38823
455,2018-09-05,55,Сенсорная лампа,1,36556
456,2010-01-21,171,Робот-пылесос,3,30608
457,2021-09-09,210,Робот-пылесос,5,12585
458,2020-03-07,186,Умные часы,16,41103
459,2020-06-17,224,Смартфон,15,18618
460,2013-08-16,247,Соковыжималка,17,13846
461,2024-05-10,29,Холодильник,6,15139
462,2008-04-08,268,Холодильник,17,44841
463,2005-11-06,169,Игровая консоль,6,6346
464,2019-01-27,117,Микроволновая печь,7,27932
465,2007-10-12,132,Смартфон,16,30330
466,2019-04-29,24,Соковыжималка,8,12447
467,2024-02-26,89,Холодильник,10,49864
468,2012-12-18,49,Сенсорная лампа,1,12943
469,2014-04-23,262,Микроволновая печь,8,11383
470,2020-02-22,70,Внешний жесткий диск,2,7215
471,2013-10-30,22,Электрочайник,8,43517
472,2021-05-01,165,Робот-пылесос,19,7399
473,2020-05-24,174,Смартфон,9,2134
474,2015-02-09,224,Фитнес-браслет,17,47085
475,2007-04-29,214,Беспроводные наушники,20,49214
476,2006-04-05,141,Цифровая камера,18,39219
477,2022-03-08,148,Микроволновая печь,19,12369
478,2011-03-21,231,Ноутбук,15,42393
479,2016-02-06,16,Электрическая зубная щетка,16,22133
480,2016-10-20,207,Парогенератор,15,20505
481,2013-07-04,139,Беспроводные наушники,11,35568
482,2016-07-02,216,Сенсорная лампа,18,28684
483,2017-05-25,175,Электрическая зубная щетка,12,42589
484,2019-11-05,4,Фитнес-браслет,9,10552
485,2014-01-05,54,Планшет,9,6677
486,2020-02-05,261,Соковыжималка,8,23543
487,2008-08-03,148,Робот-пылесос,4,38274
488,2009-07-22,59,Электрическая зубная щетка,14,19849
489,2015-03-02,147,Беспроводные наушники,6,44159
490,2008-03-09,233,Соковыжималка,18,42590
491,2008-12-13,93,Робот-пылесос,18,39990
492,2020-06-04,198,Планшет,12,22400
493,2021-02-27,70,Электрическая зубная щетка,10,3908
494,2008-10-07,85,Смартфон,18,20794
495,2013-06-04,89,Портативная колонка,5,23980
496,2017-03-20,299,Умные часы,17,15696
497,2019-07-23,45,Внешний жесткий диск,8,48366
498,2011-07-23,16,Электрическая зубная щетка,12,20931
499,2013-08-30,29,Электрочайник,6,21598
500,2010-02-25,122,Смартфон,16,35997
501,2009-05-11,135,Фитнес-браслет,17,46480
502,2011-10-18,141,Игровая консоль,15,19905
503,2007-03-28,111,Цифровая камера,1,42670
504,2018-03-14,253,Парогенератор,13,22576
505,2022-11-22,235,Соковыжималка,17,33191
506,2007-07-18,151,Беспроводные наушники,4,42145
507,2009-09-09,260,Фитнес-браслет,12,31757
508,2011-10-13,281,Электрическая зубная щетка,9,42398
509,2019-07-23,279,Ноутбук,19,14328
510,2019-11-14,157,Микроволновая печь,20,11936
511,2016-10-15,216,Ноутбук,10,36481
512,2013-03-09,91,Планшет,19,17372
513,2007-07-28,126,Стиральная машина,12,32222
514,2006-11-23,242,Беспроводные наушники,20,5864
515,2006-08-04,246,Внешний жесткий диск,5,18868
516,2006-05-20,150,Микроволновая печь,13,28131
517,2009-08-13,240,Фитнес-браслет,16,20928
518,2019-10-01,20,Парогенератор,6,25839
519,2020-08-31,3,Планшет,9,8184
520,2019-01-18,88,Беспроводные наушники,20,3803
521,2019-02-21,259,Планшет,16,6324
522,2007-10-25,187,Игровая консоль,17,8466
523,2007-05-17,25,Игровая консоль,6,41654
524,2018-06-04,12,Планшет,8,23479
525,2007-12-03,39,Игровая консоль,1,49848
526,2010-06-21,36,Цифровая камера,7,39545
527,2024-02-14,76,Фитнес-браслет,18,37099
528,2017-04-02,126,Беспроводные наушники,8,5738
529,2022-03-22,154,Сенсорная лампа,5,36825
530,2021-08-09,158,Внешний жесткий диск,12,44591
531,2016-08-03,253,Ноутбук,13,18032
532,2007-06-10,87,Сенсорная лампа,4,27844
533,2023-01-24,285,Соковыжималка,15,18360
534,2009-11-13,46,Электрочайник,7,3232
535,2014-10-18,42,Соковыжималка,19,19499
536,2008-04-28,203,Стиральная машина,16,30266
537,2016-08-31,33,Беспроводные наушники,15,14495
538,2007-05-04,99,Парогенератор,9,19237
539,2022-02-20,64,Планшет,11,41110
540,2006-08-17,70,Микроволновая печь,12,25224
541,2012-06-14,177,Электрочайник,19,47266
542,2010-11-02,223,Холодильник,13,34616
543,2015-06-06,6,Фитнес-браслет,17,25997
544,2021-12-24,100,Холодильник,18,21394
545,2006-04-29,208,Электрочайник,20,28387
546,2018-10-15,31,Смартфон,5,605
547,2015-02-04,147,Электрическая зубная щетка,9,38067
548,2014-11-01,139,Цифровая камера,2,34637
549,2019-07-27,158,Стиральная машина,2,28989
550,2024-02-06,250,Умные часы,4,44719
551,2008-12-27,238,Ноутбук,16,12059
552,2016-06-12,55,Соковыжималка,7,8411
553,2017-05-18,41,Электрочайник,15,22081
554,2018-08-26,146,Беспроводные наушники,9,45414
555,2018-11-27,193,Стиральная машина,20,18672
556,2010-03-17,237,Фитнес-браслет,14,48688
557,2006-07-14,133,Ноутбук,5,10555
558,2006-02-13,65,Беспроводные наушники,8,39420
559,2014-07-28,247,Внешний жесткий диск,5,21717
560,2009-01-12,191,Планшет,15,1686
561,2021-05-13,223,Умные часы,10,4435
562,2019-11-30,292,Робот-пылесос,12,35033
563,2004-12-25,213,Парогенератор,11,1365
564,2013-07-26,54,Робот-пылесос,7,35640
565,2018-03-31,208,Фитнес-браслет,5,17660
566,2022-08-16,121,Ноутбук,10,28748
567,2023-11-06,6,Микроволновая печь,17,33101
568,2023-01-31,266,Ноутбук,5,35504
569,2021-09-25,217,Ноутбук,7,34198
570,2020-03-13,90,Парогенератор,8,3990
571,2005-10-22,21,Холодильник,9,6338
572,2014-08-16,25,Умные часы,12,32091
573,2017-08-26,200,Планшет,8,2183
574,2022-07-30,286,Робот-пылесос,12,18102
575,2022-02-26,239,Микроволновая печь,11,26580
576,2024-10-05,18,Беспроводные наушники,15,41759
